series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Units,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),504,-6.281942841,31.8440131,MAR,Morocco,1,PERCENT,Percentage,15.26,15.12,14.94,15.7,23.51,20.66,18.65,16.97,15.12,14.76,14.41,12.35,11.4,12.05,11.72,11.32,11.768,2015,11.32,"Source: World Energy Balances, IEA (2017)",E,21
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),508,38.18479941,-14.27963886,MOZ,Mozambique,1,PERCENT,Percentage,93.61,93.95,93.73,92.75,92.92,93.62,93.29,92.14,92.43,91.67,91.3,90.46,90.82,90.32,88.86,86.4,89.372,2015,86.4,"Source: World Energy Balances, IEA (2017)",E,22
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),512,57.87743482,21.98805614,OMN,Oman,1,PERCENT,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,"Source: World Energy Balances, IEA (2017)",E,23
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),516,17.21907885,-22.13817068,NAM,Namibia,1,PERCENT,Percentage,33.51,29.3,33.01,32.56,32.11,32.06,32.86,32.77,27.03,27.08,26.37,27.94,28.56,28.27,27.62,26.47,27.772,2015,26.47,"Source: World Energy Balances, IEA (2017)",E,24
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),520,166.92313,-0.528742623,NRU,Nauru,1,PERCENT,Percentage,0,0,0,0,0,0,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.084,2015,0.08,"Source: Energy Balances, UN Statistics Division (2017)",E,25
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),524,83.94678863,28.25866332,NPL,Nepal,1,PERCENT,Percentage,88.28,87.76,89.94,89.44,90.3,89.52,91.25,91.31,90.47,88.93,87.29,86.95,84.7,86.25,84.37,85.26,85.506,2015,85.26,"Source: World Energy Balances, IEA (2017)",E,26
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),528,5.331480568,51.86728884,NLD,Netherlands,1,PERCENT,Percentage,1.75,1.78,1.93,1.92,2.24,2.77,3.15,3.72,3.97,4.41,3.87,4.7,4.96,5.02,5.66,5.89,5.246,2015,5.89,"Source: World Energy Balances, IEA (2017)",E,27
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),530,-68.30676179,12.22720635,ANT,Netherlands Antilles,1,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,28
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),531,-68.95033464,12.15058042,CUW,Curaçao,1,PERCENT,Percentage,0.07,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.36,0.36,0.35,0.35,0.332,2015,0.35,"Source: World Energy Balances, IEA (2017)",E,29
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),533,-69.97050586,12.50878756,ABW,Aruba,1,PERCENT,Percentage,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.3,5.46,5.66,6.86,6.89,6.93,6.73,6.614,2015,6.73,"Source: Energy Balances, UN Statistics Division (2017)",E,30
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),534,-63.06198692,18.03926508,SXM,Sint Maarten (Dutch part),1,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,31
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),540,165.5067368,-21.41742531,NCL,New Caledonia,1,PERCENT,Percentage,7.18,6.32,4.92,4.59,4.85,4.75,4.19,5.5,7.44,6.71,4.48,5.57,6.2,6.23,3.98,4.76,5.348,2015,4.76,"Source: Energy Balances, UN Statistics Division (2017)",E,32
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),548,167.0679779,-15.34445547,VUT,Vanuatu,1,PERCENT,Percentage,48.65,47.42,51.92,50.45,64.06,64.26,69.57,42.25,47.6,38.78,38.38,36.64,40.31,42.57,32.14,36.11,37.554,2015,36.11,"Source: Energy Balances, UN Statistics Division (2017)",E,33
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),554,170.4755673,-43.98721568,NZL,New Zealand,1,PERCENT,Percentage,28.96,26.88,28.77,28.11,30.56,29.27,29.38,29.12,28.16,30.23,31.32,32.13,30.47,30.01,30.32,30.79,30.744,2015,30.79,"Source: World Energy Balances, IEA (2017)",E,34
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),558,-85.03060315,12.84210839,NIC,Nicaragua,1,PERCENT,Percentage,58.37,56.57,56.59,54.12,53.78,53.9,51.77,51.36,52.56,52.8,52.64,51.68,52.08,52.56,51.84,48.2,51.272,2015,48.2,"Source: World Energy Balances, IEA (2017)",E,35
